"Prompt_ID","Test_Type","Description","Tool_Call"
"11","End-to-End Testing","Precondition: Ensure the ML Service is running and the temporal_attention_lstm.pth model is missing. Input: Start a real-time video stream. Expected: LSTM stays in 'warming_up' indefinitely and no distraction alerts are generated. PASS if the LSTM state remains 'warming_up'; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_11"",""type"":""function"",""function"":{""name"":""start_stream_with_missing_lstm"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"12","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/register with a valid name, age, and base64-encoded image. Expected: Response code 200 with a pending_id returned and driver_id null. PASS if the registration is successful; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_12"",""type"":""function"",""function"":{""name"":""post_register_driver"",""arguments"":""{\""name\"": \""John Doe\"", \""age\"": 30, \""image_base64\"": \""<base64_encoded_image>\""}""}}]}"
"13","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/ with an empty image. Expected: Response code 400 with message 'Empty image'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_13"",""type"":""function"",""function"":{""name"":""post_login_with_empty_image"",""arguments"":""{\""image\"": \""\""}""}}]}"
"14","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/ with a corrupt image file. Expected: Response code 400 with message 'Could not decode image'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_14"",""type"":""function"",""function"":{""name"":""post_login_with_corrupt_image"",""arguments"":""{\""image\"": \""<corrupt_image_data>\""}""}}]}"
"15","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/ with an image containing no face. Expected: Response code 400 with message 'No face detected in image (MediaPipe)'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_15"",""type"":""function"",""function"":{""name"":""post_login_with_no_face_image"",""arguments"":""{\""image\"": \""<image_with_no_face>\""}""}}]}"
"16","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/ with an image where the face is too small (< 50×50 px). Expected: Response code 400 with message 'No face detected in image (ArcFace)'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_16"",""type"":""function"",""function"":{""name"":""post_login_with_small_face_image"",""arguments"":""{\""image\"": \""<small_face_image>\""}""}}]}"
"17","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/register with an invalid base64 image. Expected: Response code 400 with message 'Invalid image_base64'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_17"",""type"":""function"",""function"":{""name"":""post_register_with_invalid_base64"",""arguments"":""{\""name\"": \""John Doe\"", \""age\"": 30, \""image_base64\"": \""<invalid_base64>\""}""}}]}"
"18","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/verify-dl with an expired pending_id. Expected: Response code 400 with message 'Pending registration expired or not found'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_18"",""type"":""function"",""function"":{""name"":""post_verify_dl_with_expired_pending_id"",""arguments"":""{\""pending_id\"": \""<expired_pending_id>\"", \""image\"": \""<base64_encoded_image>\""}""}}]}"
"19","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/verify-dl with a DL photo that has a name mismatch. Expected: Response code 400 with message 'Mismatched Name'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_19"",""type"":""function"",""function"":{""name"":""post_verify_dl_with_name_mismatch"",""arguments"":""{\""pending_id\"": \""<pending_id>\"", \""image\"": \""<base64_encoded_image>\""}""}}]}"
"20","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/verify-dl with a DL photo that has an age mismatch. Expected: Response code 400 with message 'Mismatched Age'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_20"",""type"":""function"",""function"":{""name"":""post_verify_dl_with_age_mismatch"",""arguments"":""{\""pending_id\"": \""<pending_id>\"", \""image\"": \""<base64_encoded_image>\""}""}}]}"
"21","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/verify-dl with a DL photo where the DL number is unreadable. Expected: Response code 400 with message 'Could not read DL number from licence'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_21"",""type"":""function"",""function"":{""name"":""post_verify_dl_with_unreadable_dl_number"",""arguments"":""{\""pending_id\"": \""<pending_id>\"", \""image\"": \""<base64_encoded_image>\""}""}}]}"
"22","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/finalize-dl with a valid verdict, dl_number, and ocr_text. Expected: Response code 200 and the driver is created in the database. PASS if the driver is created correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_22"",""type"":""function"",""function"":{""name"":""post_finalize_dl"",""arguments"":""{\""pending_id\"": \""<pending_id>\"", \""verdict\"": \""valid\"", \""dl_number\"": \""<dl_number>\"", \""ocr_text\"": \""<ocr_text>\""}""}}]}"
"23","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/ with a known driver's face and correct driver_id for 1:1 verification. Expected: Response code 200 with correct driver_id, driver_name, and age. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_23"",""type"":""function"",""function"":{""name"":""post_login_with_correct_driver_id"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""image\"": \""<base64_encoded_image>\""}""}}]}"
"24","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/ with a known driver's face but wrong driver_id for 1:1 verification. Expected: Response code 401 indicating face not recognized. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_24"",""type"":""function"",""function"":{""name"":""post_login_with_wrong_driver_id"",""arguments"":""{\""driver_id\"": \""XYZ789\"", \""image\"": \""<base64_encoded_image>\""}""}}]}"
"25","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/register with a photo containing no face. Expected: Response code 400 with message 'No valid face detected'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_25"",""type"":""function"",""function"":{""name"":""post_register_with_no_face_image"",""arguments"":""{\""name\"": \""John Doe\"", \""age\"": 30, \""image_base64\"": \""<image_with_no_face>\""}""}}]}"
"26","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/login/ with an unregistered face. Expected: Response code 401 indicating face not recognized. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_26"",""type"":""function"",""function"":{""name"":""post_login_with_unregistered_face"",""arguments"":""{\""image\"": \""<unregistered_face_image>\""}""}}]}"
"27","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Connect to ws://<host>/api/stream without driver_id query. Expected: Stream works with driver identity showing 'Unknown' until face recognized. PASS if the stream functions correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_27"",""type"":""function"",""function"":{""name"":""connect_stream_without_driver_id"",""arguments"":""{\""frame\"": \""<base64_encoded_frame>\""}""}}]}"
"28","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Start a real-time video stream and close eyes for ≥ 2 seconds. Expected: Fatigue alert is triggered with alert_type 'fatigue'. PASS if the alert is triggered correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_28"",""type"":""function"",""function"":{""name"":""start_stream_and_test_fatigue"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"29","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Start a real-time video stream and open mouth wide (MAR > 0.45) for ≥ 2 seconds. Expected: Fatigue alert is triggered with alert_type 'fatigue'. PASS if the alert is triggered correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_29"",""type"":""function"",""function"":{""name"":""start_stream_and_test_yawning"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"30","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Start a real-time video stream and blink normally (< 0.5 s). Expected: No fatigue alert is triggered and blink is counted. PASS if no alert is triggered and blink is counted; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_30"",""type"":""function"",""function"":{""name"":""start_stream_and_test_normal_blink"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"31","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Start a real-time video stream and maintain PERCLOS ≥ 0.4 with eye closure duration ≥ 2.0 seconds. Expected: Sleep alert is triggered with alert_type 'sleep'. PASS if the alert is triggered correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_31"",""type"":""function"",""function"":{""name"":""start_stream_and_test_sleep_alert"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"32","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Start a real-time video stream and maintain a blink rate < 0.1 Hz over a 2-second window. Expected: Fatigue alert is triggered with alert_type 'fatigue'. PASS if the alert is triggered correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_32"",""type"":""function"",""function"":{""name"":""start_stream_and_test_low_blink_rate"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"33","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Start a real-time video stream and perform a brief look-away (< 10 frames). Expected: No distraction alert is triggered due to temporal smoothing. PASS if no alert is triggered; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_33"",""type"":""function"",""function"":{""name"":""start_stream_and_test_brief_look_away"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"34","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Start a real-time video stream and trigger a distraction alert. Then, GET /api/recalibrate to reset the state. Expected: Calibration restarts and LSTM buffer is cleared. PASS if the calibration restarts correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_34"",""type"":""function"",""function"":{""name"":""start_stream_and_recalibrate"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"35","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Start a real-time video stream and trigger a distraction alert. Ensure hysteresis prevents flickering by maintaining distraction state until p1 < 0.40. PASS if the distraction state is maintained correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_35"",""type"":""function"",""function"":{""name"":""start_stream_and_test_hysteresis"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"36","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Start a real-time video stream and maintain attentive state until p1 > 0.68. Expected: Distraction state flips to attentive. PASS if the state flips correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_36"",""type"":""function"",""function"":{""name"":""start_stream_and_test_state_flip"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"37","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/safety-score/compute with a driver_id and score_date where no events occurred. Expected: Response code 200 with safety score 100. PASS if the score is 100; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_37"",""type"":""function"",""function"":{""name"":""post_compute_safety_score_no_events"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""score_date\"": \""2026-04-09\""}""}}]}"
"38","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/safety-score/compute with a driver_id and score_date with multiple events. Expected: Response code 200 with safety score calculated based on the formula. PASS if the score matches the expected calculation; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_38"",""type"":""function"",""function"":{""name"":""post_compute_safety_score_multiple_events"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""score_date\"": \""2026-04-09\""}""}}]}"
"39","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/safety-score/compute with a driver_id and score_date with many alerts. Expected: Response code 200 with safety score clamped to 0. PASS if the score is clamped correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_39"",""type"":""function"",""function"":{""name"":""post_compute_safety_score_with_clamping"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""score_date\"": \""2026-04-09\""}""}}]}"
"40","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: GET a request to /api/safety-score/ with a valid driver_id and date range. Expected: Response code 200 with an array of daily scores. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_40"",""type"":""function"",""function"":{""name"":""get_safety_score_date_range"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""date_from\"": \""2026-04-01\"", \""date_to\"": \""2026-04-09\""}""}}]}"
"41","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: GET a request to /api/safety-score/ with a valid driver_id and invalid date format. Expected: Response code 400 indicating invalid date format. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_41"",""type"":""function"",""function"":{""name"":""get_safety_score_invalid_date_format"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""date_from\"": \""invalid_date\"", \""date_to\"": \""invalid_date\""}""}}]}"
"42","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/sessions/start with a valid driver_id and immediately POST to /api/sessions/end with the session_id. Expected: Response code 200 for both requests with correct session status. PASS if both requests succeed and status is correct; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_42"",""type"":""function"",""function"":{""name"":""post_start_and_end_session"",""arguments"":""{\""driver_id\"": \""ABC123\""}""}}]}"
"43","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/sessions/end with a non-existent session_id. Expected: Response code 404 indicating session not found. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_43"",""type"":""function"",""function"":{""name"":""post_end_non_existent_session"",""arguments"":""{\""session_id\"": \""non_existent_session_id\""}""}}]}"
"44","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Start a real-time video stream and trigger an alert. Expected: A new session is auto-created with status 'active'. PASS if the session is created correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_44"",""type"":""function"",""function"":{""name"":""start_stream_and_trigger_alert"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"45","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Connect to ws://<host>/api/stream and send frames without a face. Expected: driver_state is 'no_face' and zero alerts are generated. PASS if the state is correct and no alerts are generated; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_45"",""type"":""function"",""function"":{""name"":""connect_stream_with_no_face_frames"",""arguments"":""{\""driver_id\"": \""<id>\"", \""frame\"": \""<base64_encoded_frame>\""}""}}]}"
"46","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/demo/reset-driver with a non-existent driver_id. Expected: Response code 404 with message 'Driver not found'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_46"",""type"":""function"",""function"":{""name"":""post_demo_reset_non_existent_driver"",""arguments"":""{\""driver_id\"": \""non_existent_driver_id\""}""}}]}"
"47","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: GET a request to /health for the API Gateway. Expected: Response code 200 with status 'ok'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_47"",""type"":""function"",""function"":{""name"":""get_api_gateway_health"",""arguments"":""{}""}}]}"
"48","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: GET a request to /health on port 8001 for the ML Service. Expected: Response code 200 with status 'ok' and service 'ml-service'. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_48"",""type"":""function"",""function"":{""name"":""get_ml_service_health"",""arguments"":""{}""}}]}"
"49","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: GET a request to /health/models for shallow model health check. Expected: Response code 200 with all subsystem ok fields. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_49"",""type"":""function"",""function"":{""name"":""get_model_health_shallow"",""arguments"":""{}""}}]}"
"50","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: GET a request to /health/models?deep=true for deep model health check. Expected: Response code 200 with Qwen processor loaded. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_50"",""type"":""function"",""function"":{""name"":""get_model_health_deep"",""arguments"":""{\""deep\"": true}""}}]}"
"51","Integration Testing","Precondition: Ensure that the ML service is running and all required models are loaded. Input: Send a POST request to /api/login/ with a registered driver's face image. Target: /api/login/ endpoint. Expected: Receive a 200 status code with driver_id, driver_name, and age in the response. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_1"",""type"":""function"",""function"":{""name"":""call_driver_login"",""arguments"":""{\""image\"": \""<base64_encoded_image>\""}""}}]}"
"52","Integration Testing","Precondition: Ensure the ArcFace model is not loaded. Input: Send a POST request to /api/login/ with any face image. Target: /api/login/ endpoint. Expected: Receive a 503 status code indicating the ArcFace model is not loaded. PASS if the response is a 503 error; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_2"",""type"":""function"",""function"":{""name"":""call_driver_login_with_missing_model"",""arguments"":""{\""image\"": \""<base64_encoded_image>\""}""}}]}"
"53","Integration Testing","Precondition: Ensure the ML service is running and the ArcFace model is loaded. Input: Send a POST request to /api/login/register with a new driver's name, age, and base64-encoded face image. Target: /api/login/register endpoint. Expected: Receive a 200 status code with a pending_id in the response. PASS if the pending_id is returned; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_3"",""type"":""function"",""function"":{""name"":""register_new_driver"",""arguments"":""{\""name\"": \""John Doe\"", \""age\"": 30, \""image_base64\"": \""<base64_encoded_image>\""}""}}]}"
"54","Integration Testing","Precondition: Ensure the ML service is running and the YOLO model is loaded. Input: Send a POST request to /api/login/verify-dl with a valid pending_id and a clear driving license photo. Target: /api/login/verify-dl endpoint. Expected: Receive a 200 status code with driver_id created and dl_number extracted. PASS if the driver_id and dl_number are returned; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_4"",""type"":""function"",""function"":{""name"":""verify_driving_license"",""arguments"":""{\""pending_id\"": \""<valid_pending_id>\"", \""image\"": \""<base64_encoded_dl_image>\""}""}}]}"
"55","Integration Testing","Precondition: Ensure the ML service is running and the distraction detection model is loaded. Input: Connect to the WebSocket endpoint ws://<host>/api/stream?driver_id=<id> and send JPEG frames. Target: /api/stream WebSocket endpoint. Expected: Receive JSON metrics and annotated JPEG frames. PASS if metrics and frames are received; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_5"",""type"":""function"",""function"":{""name"":""stream_video_frames"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [<list_of_jpeg_frames>]}""}}]}"
"56","Integration Testing","Precondition: Ensure the ML service is running and all required models are loaded. Input: Send a GET request to /health/models?deep=true&full_qwen=true. Target: /health/models endpoint. Expected: Receive a detailed model status with all models loaded successfully. PASS if all models show as loaded; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_6"",""type"":""function"",""function"":{""name"":""check_model_health_deep_full_qwen"",""arguments"":""{}""}}]}"
"57","Integration Testing","Precondition: Ensure the ML service is running and the ArcFace model is loaded. Input: Send a POST request to /api/login/ with an unregistered face image. Target: /api/login/ endpoint. Expected: Receive a 401 status code indicating the face is not recognized. PASS if the response is a 401 error; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_7"",""type"":""function"",""function"":{""name"":""login_with_unregistered_face"",""arguments"":""{\""image\"": \""<base64_encoded_image>\""}""}}]}"
"58","Integration Testing","Precondition: Ensure the ML service is running and the YOLO model is loaded. Input: Send a POST request to /api/login/finalize-dl with a valid pending_id, verdict=valid, dl_number, and ocr_text. Target: /api/login/finalize-dl endpoint. Expected: Receive a 200 status code with the driver created in the database. PASS if the driver is created; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_8"",""type"":""function"",""function"":{""name"":""finalize_driving_license"",""arguments"":""{\""pending_id\"": \""<valid_pending_id>\"", \""verdict\"": \""valid\"", \""dl_number\"": \""DL123456\"", \""ocr_text\"": \""John Doe, 30\""}""}}]}"
"59","Integration Testing","Precondition: Ensure the ML service is running and all required models are loaded. Input: Send a POST request to /api/sessions/start with a valid driver_id. Target: /api/sessions/start endpoint. Expected: Receive a 200 status code with session_id, start_time, and status: 'active'. PASS if the session is started; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_9"",""type"":""function"",""function"":{""name"":""start_driver_session"",""arguments"":""{\""driver_id\"": \""ABC123\""}""}}]}"
"60","Integration Testing","Precondition: Ensure the ML service is running and all required models are loaded. Input: Send a POST request to /api/sessions/end with a valid session_id. Target: /api/sessions/end endpoint. Expected: Receive a 200 status code with end_time and status: 'ended'. PASS if the session is ended; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_10"",""type"":""function"",""function"":{""name"":""end_driver_session"",""arguments"":""{\""session_id\"": \""<valid_session_id>\""}""}}]}"
"61","Integration Testing","Precondition: Ensure the ML service is running and the ArcFace model is loaded. Input: Send a POST request to /api/login/ with a face image smaller than 50x50 pixels. Target: /api/login/ endpoint. Expected: Receive a 400 status code with message 'No face detected in image (ArcFace)'. PASS if the response is a 400 error; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_11"",""type"":""function"",""function"":{""name"":""login_with_small_face_image"",""arguments"":""{\""image\"": \""<small_base64_encoded_image>\""}""}}]}"
"62","Integration Testing","Precondition: Ensure the ML service is running and the ArcFace model is loaded. Input: Send a POST request to /api/login/register with an invalid base64-encoded face image. Target: /api/login/register endpoint. Expected: Receive a 400 status code with message 'Invalid image_base64'. PASS if the response is a 400 error; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_12"",""type"":""function"",""function"":{""name"":""register_with_invalid_base64"",""arguments"":""{\""name\"": \""Jane Doe\"", \""age\"": 25, \""image_base64\"": \""<invalid_base64>\""}""}}]}"
